Code,Description,,,,,,,
01101,Cargo ship safety equipment (including exemption),,,,,,,
01102,Cargo ship safety construction (including exempt.),,,,,,,
01103,Passenger ship safety (including exemption),,,,,,,
01104,Cargo ship safety radio (including exemption),,,,,,,
01105,Cargo ship safety (including exemption),,,,,,,
01106,Document of compliance (DoC/ ISM),,,,,,,
01107,Safety management certificate (SMC/ ISM),,,,,,,
01108,Load lines (including Exemption),,,,,,,
01109,Decision-support system for masters on passenger ships,,,,,,,
01110,Authorization for grain carriage,,,,,,,
01111,Liquefied gases in bulk (CoF/GC Code),,,,,,,
01112,Liquefied gases in bulk (ICoF/IGC Code),,,,,,,
01113,Minimum safe manning document,,,,,,,
01114,Dangerous chemicals in bulk (CoF/BCH Code),,,,,,,
01115,Dangerous chemicals in bulk (ICoF/IBC Code),,,,,,,
01116,Operational limitations for passenger ships,,,,,,,
01117,International Oil Pollution Prevention (IOPP),,,,,,,
01118,Pollution prevention by noxious liquid substances in bulk,,,,,,,
01119,International Sewage Pollution Prevention Certificate,,,,,,,
01120,Statement of Compliance CAS,,,,,,,
01121,Interim Statement of Compliance CAS,,,,,,,
01122,International ship security certificate,,,,,,,
01123,Continuous synopsis record,,,,,,,
01124,International Air Pollution Prevention Certificate,,,,,,,
01125,Engine International Air Pollution Prevention Certificate,,,,,,,
01126,Document of compliance dangerous goods,,,,,,,
01127,Special purpose ship safety,,,,,,,
01128,High speed craft safety and permit to operate,,,,,,,
01129,Mobile offshore drilling unit safety,,,,,,,
01130,INF certificate of fitness,,,,,,,
01131,International AFS certificate *),,,,,,,
01132,Tonnage certificate,,,,,,,
01133,Civil liability for oil pollution damage certificate,,,,,,,
01134,Polar ship certificate,,,,,,,
01135,Document for carriage of dangerous goods,,,,,,,
01136,Ballast Water Management Certificate,,,,,,,
01137,Civil liability for Bunker oil pollution damage certificate,,,,,,,
01138,International Energy Efficiency Certificate,,,,,,,
01139,Maritime Labour Certificate,,,,,,,
01140,Declaration of Maritime Labour Compliance (Part I and II),,,,,,,
01199,Other (certificates),,,,,,,
01201,Certificates for master and officers,,,,,,,
01202,Certificate for rating for watchkeeping,,,,,,,
01203,Certificates for radio personnel,,,,,,,
01204,Certificate for personnel on tankers,,,,,,,
01205,Certificate for personnel on fast rescue boats,,,,,,,
01206,Certificate for advanced fire-fighting,,,,,,,
01209,Manning specified by the minimum safe manning document,,,,,,,
01210,Certificate for medical first aid,,,,,,,
01211,Certificate for personnel on survival craft & rescue boat,,,,,,,
01212,Certificate for medical care,,,,,,,
01213,Evidence of basic training,,,,,,,
01214,Endorsement by flag state,,,,,,,
01215,Application for Endorsement by flag state,,,,,,,
01216,Certificate for personnel on ships subject to the IGF Code,,,,,,,
01217,Ship Security Officer certificate,,,,,,,
01218,Medical certificate,,,,,,,
01219,Training and qualification MLC - Personnel safety training,,,,,,,
01220,Seafarer’s employment agreement SEA,,,,,,,
01221,Record of employment,,,,,,,
01222,Document evidence for personnel on passenger ships,,,,,,,
01223,Security awareness training,,,,,,,
01224,Certificate for rating able seafarer deck/engine and electro-technical,,,,,,,
01302,SAR cooperation plan for passenger ships on fixed trade,,,,,,,
01303,Unattended machinery spaces (UMS) evidence,,,,,,,
01304,Declaration of AFS compliance,,,,,,,
01305,Log-books/compulsory entries,,,,,,,
01306,Shipboard working arrangements,,,,,,,
01307,Maximum hours of work or the minimum hours of rest,,,,,,,
01308,Records of seafarers' daily hours of work or rest,,,,,,,
01309,Fire control plan – all,,,,,,,
01310,"Signs, indications",,,,,,,
01311,Survey report file,,,,,,,
01312,Thickness measurement report,,,,,,,
01313,Booklet for bulk cargo loading/unloading/stowage,,,,,,,
01314,Shipboard oil pollution emergency plan (SOPEP),,,,,,,
01315,Oil record book,,,,,,,
01316,Cargo information,,,,,,,
01317,Cargo record book,,,,,,,
01318,P & A manual,,,,,,,
01319,Shipboard marine pollution emergency plan (MPEP) for NLS,,,,,,,
01320,Garbage record book,,,,,,,
01322,Conformance Test Report,,,,,,,
01323,Fire safety operational booklet,,,,,,,
01324,Material safety data sheets,,,,,,,
01325,ACM statement of compliance (including exemption),,,,,,,
01326,Stability Information Booklet,,,,,,,
01327,Energy Efficiency Design Index File,,,,,,,
01328,Ship Energy Efficiency Management plan,,,,,,,
01329,"Report of inspection on MLC, 2006",,,,,,,
01330,"Procedure for complaint under MLC, 2006",,,,,,,
01331,Collective bargaining agreement,,,,,,,
01332,AIS test report,,,,,,,
01333,Ship specific plans for the recovery of persons from the water,,,,,,,
01334,STS Operation Plan and Records of STS Operations,,,,,,,
01335,Polar Water Operational Manual,,,,,,,
01336,Certificate or documentary evidence of financial security for repatriation,,,,,,,
01337,Certificate or documentary evidence of financial security relating to shipowners liability,,,,,,,
02101,Closing devices/watertight doors,,,,,,,
02102,Damage control plan,,,,,,,
02103,Stability/strength/loading information and instruments,,,,,,,
02104,Information on the A/A - max ratio (Roro/pass. only),,,,,,,
02105,Steering gear,,,,,,,
02106,Hull damage impairing seaworthiness,,,,,,,
02107,"Ballast, fuel and other tanks",,,,,,,
02108,Electric equipment in general,,,,,,,
02109,Permanent means of access,,,,,,,
02110,"Beams, frames, floors - operational damage",,,,,,,
02111,"Beams, frames, floors - corrosion",,,,,,,
02112,Hull - corrosion,,,,,,,
02113,Hull - cracking,,,,,,,
02114,Bulkhead – corrosion,,,,,,,
02115,Bulkheads - operational damage,,,,,,,
02116,Bulkheads – cracking,,,,,,,
02117,Decks – corrosion,,,,,,,
02118,Decks – cracking,,,,,,,
02119,Enhanced survey programme (ESP),,,,,,,
02120,Marking of IMO number,,,,,,,
02121,Cargo area segregation,,,,,,,
02122,"Openings to cargo area, doors, …, scuttles",,,,,,,
02123,"Wheelhouse door, - window",,,,,,,
02124,Cargo pump room,,,,,,,
02125,Spaces in cargo areas,,,,,,,
02126,Cargo tank vent system,,,,,,,
02127,Safe access to tanker bows,,,,,,,
02128,Bulk carriers additional safety measures,,,,,,,
02129,Bulkhead strength,,,,,,,
02130,Triangle mark,,,,,,,
02132,Water level detectors on single hold cargo ships,,,,,,,
02133,Asbestos containing materials,,,,,,,
02134,Loading/Ballast condition (Tanker),,,,,,,
02199,Other (Structural condition),,,,,,,
03101,Overloading,,,,,,,
03102,Freeboard marks,,,,,,,
03103,"Railing, gangway, walkway and means for safe passage",,,,,,,
03104,Cargo and other hatchways,,,,,,,
03105,"Covers (hatchway, portable, tarpaulins, etc.)",,,,,,,
03106,"Windows, side scuttles and deadlights",,,,,,,
03107,Doors,,,,,,,
03108,"Ventilators, air pipes, casings",,,,,,,
03109,Machinery space openings,,,,,,,
03110,Manholes / flush scuttles,,,,,,,
03111,Cargo ports and other similar openings,,,,,,,
03112,"Scuppers, inlets and discharges",,,,,,,
03113,Bulwarks and freeing ports,,,,,,,
03114,"Stowage including uprights, lashing, etc. (timber)",,,,,,,
03199,Other (load lines),,,,,,,
04101,Public address system,,,,,,,
04102,Emergency fire pump and its pipes,,,,,,,
04103,"Emergency lighting, batteries and switches",,,,,,,
04104,Low level lighting in corridors,,,,,,,
04105,Location of emergency installations,,,,,,,
04106,Emergency steering position communications/ compass reading,,,,,,,
04107,Emergency towing arrangements and procedures,,,,,,,
04108,Muster list,,,,,,,
04109,Fire drills,,,,,,,
04110,Abandon ship drills,,,,,,,
04111,Damage control plan,,,,,,,
04112,Shipboard Marine Pollution emergency operations,,,,,,,
04113,Water level indicator,,,,,,,
04114,Emergency source of power - Emergency generator,,,,,,,
04115,Safe areas,,,,,,,
04116,Means of communication between safety centre and other control stations,,,,,,,
04117,Functionality of Safety Systems,,,,,,,
04118,Enclosed space entry and rescue drills,,,,,,,
05101,Distress messages: obligations and procedures,,,,,,,
05102,Functional requirements,,,,,,,
05103,Main installation,,,,,,,
05104,MF radio installation,,,,,,,
05105,MF/HF radio installation,,,,,,,
05106,INMARSAT ship earth station,,,,,,,
05107,Maintenance / duplication of equipment,,,,,,,
05108,Performance standards for radio equipment,,,,,,,
05109,VHF radio installation,,,,,,,
05110,Facilities for reception of marine safety information,,,,,,,
05111,Satellite EPIRB 406MHz / 1.6 GHz,,,,,,,
05112,VHF EPIRB,,,,,,,
05113,SART/AIS - SART,,,,,,,
05114,Reserve source of energy,,,,,,,
05115,Radio log (diary),,,,,,,
05116,Operation/maintenance,,,,,,,
05118,Operation of GMDSS equipment,,,,,,,
05199,Other (radio communication),,,,,,,
06101,Cargo securing manual,,,,,,,
06102,Grain,,,,,,,
06103,Other cargo - timber - deck/construction,,,,,,,
06104,Lashing material,,,,,,,
06105,Atmosphere testing instruments,,,,,,,
