Word,Count
the,152663
to,86359
and,86054
of,77520
in,43559
was,36081
Action:,35991
on,29824
The,29706
be,28778
for,28680
with,25786
UNKNOWN,25095
not,22478
by,20331
Deficiency,19851
No,19025
Cause,18411
Root,18395
Immediate,18351
Corrective,18203
Causes:,18133
Description,18102
Preventive,18084
Detainable,17994
Deficiency:,17985
Code:,17982
PscInspectionId:,17970
Analysis:,17970
Overview:,17970
Deficiency/Finding:,17970
all,17892
as,16460
is,16125
that,14947
a,13058
crew,12341
during,12071
were,11706
out,11567
at,10423
will,10116
inspection,9965
-,9254
are,9235
Master,9095
from,8470
been,7922
vessel,7796
/,7791
PSC,7558
maintenance,7390
has,7303
safety,7044
carried,7021
deficiency,6899
found,6608
per,5984
it,5981
fleet,5963
training,5824
ensure,5689
1.,5638
this,5573
Inadequate,5427
2.,5300
ship,5132
or,5007
proper,4816
any,4782
which,4758
equipment,4670
&,4669
system,4565
Lack,4543
have,4512
company,4444
vessels,4427
board,4403
should,4369
port,4362
check,4344
due,4124
water,4038
shall,4018
Factors,3997
deck,3954
condition,3891
next,3880
order,3869
fire,3832
Safety,3819
officer,3778
onboard,3736
room,3652
after,3608
time,3600
working,3582
PSCO,3528
engine,3499
Chief,3361
new,3358
an,3353
Vessel,3339
had,3295
This,3228
properly,3204
operation,3178
Company,3174
their,3156
required,3131
All,3125
discussed,3103
same,3098
immediately,3096
SMS,3017
avoid,2999
awareness,2971
3.,2921
verified,2907
Officer,2882
management,2874
when,2866
During,2862
did,2831
checked,2808
report,2768
THE,2764
good,2711
meeting,2697
certificate,2668
ship's,2637
other,2621
circulated,2613
Class,2611
no,2585
A,2585
emergency,2553
before,2544
vessel's,2540
Management,2523
staff,2517
oil,2514
Crew,2506
must,2500
available,2468
cargo,2454
conducted,2402
record,2385
shared,2377
officers,2373
inspection.,2371
test,2356
valve,2345
PMS,2330
but,2314
alarm,2296
responsible,2294
issued,2271
procedures,2268
prior,2250
prevent,2224
routine,2223
also,2223
plan,2223
relevant,2205
importance,2201
"inspection,",2200
line,2185
compliance,2170
instructed,2170
provided,2160
In,2147
supervision,2105
work,2099
verify,2083
follow,2076
OF,2056
information,2047
one,2043
briefed,2041
monthly,2036
requirements,2018
side,1990
under,1943
·,1918
additional,1915
master,1900
about,1899
Engine,1895
if,1892
procedure,1891
control,1881
As,1879
spare,1850
replaced,1817
regarding,1800
Maintenance,1783
up,1773
use,1765
Training,1761
closed,1750
lack,1734
rectified,1726
such,1719
inspections,1713
AND,1703
similar,1702
deficiencies,1680
Company's,1679
board.,1667
made,1653
they,1634
action,1632
members,1624
NOT,1622
tank,1617
N/A,1615
certificates,1614
Human,1612
superintendent,1608
.,1601
sent,1598
missing,1589
main,1584
carry,1580
case,1573
weekly,1568
identified,1562
Engineer,1560
office,1555
part,1554
its,1546
Ship,1546
:,1533
TO,1526
condition.,1523
observed,1520
boat,1520
noted,1515
Failure,1515
2,1514
without,1502
light,1501
including,1488
observation,1479
company's,1472
last,1471
It,1469
corrective,1463
attached,1463
records,1457
To,1450
personnel,1445
rest,1425
Not,1425
engineer,1421
instructions,1419
correct,1415
failed,1415
regular,1409
vessel.,1402
recorded,1401
inspector,1400
confirmed,1395
checks,1394
Other,1394
attending,1393
fuel,1391
Flag,1382
drill,1380
could,1380
hours,1378
defect,1372
cause,1370
monitoring,1361
onboard.,1357
bridge,1351
there,1347
2023,1344
into,1343
familiar,1340
can,1339
well,1337
issue,1335
requirement,1331
while,1324
IN,1323
On,1321
within,1320
4.,1318
requested,1317
further,1317
used,1314
reported,1313
ballast,1312
tested,1301
insulation,1288
pipe,1287
being,1279
according,1277
actions,1276
each,1273
only,1265
where,1261
Fire,1258
included,1253
3,1253
maintained,1239
internal,1234
charge,1229
pressure,1226
more,1223
SOLAS,1214
steering,1214
garbage,1213
Due,1209
Emergency,1206
pump,1206
After,1206
informed,1206
shipboard,1203
Fleet,1198
verification,1195
Superintendent,1194
over,1191
gas,1187
taken,1186
date,1185
posted,1185
class,1184
"However,",1183
through,1171
closing,1171
Technical,1166
attention,1165
MLC,1156
manual,1156
mooring,1154
Port,1150
evidence,1149
service,1143
required.,1142
Inspection,1138
form,1137
related,1136
inadequate,1133
rescue,1129
received,1122
At,1121
place,1115
testing,1114
every,1113
air,1112
position,1111
PIC,1104
our,1101
arrival,1100
cover,1099
two,1099
removed,1097
area,1097
kept,1094
door,1093
gear,1093
fully,1082
updated,1080
above,1080
team,1077
between,1073
order.,1070
1,1066
following,1064
accordance,1061
his,1056
done,1055
preventive,1045
recurrence.,1044
rectification,1042
Factors:,1040
always,1036
ISM,1033
both,1032
completed,1025
departure,1022
he,1021
defective,1021
Certificate,1010
some,1008
checking,1006
satisfaction,996
marked,995
time.,994
operational,989
investigation,987
familiarization,987
list,984
repair,981
valves,981
code,979
flag,978
review,978
